code,name,industry,pct,price,amount_yi,turnover,fund_yi,first_seal,last_seal,breaks,stat,limit_boards
002484,江海股份,元件,10.008136749267578,67.6,9.46820336,1.7070921659469604,6.05613595,092500,092500,0,1/1,1
603533,掌阅科技,数字媒体,10.0,25.85,6.14429024,5.4276838302612305,0.47098441,092503,130142,3,1/1,1
603968,醋化股份,化学制品,10.017123222351074,12.85,3.01467904,11.796630859375,0.40740925,093043,140949,1,1/1,1
002129,TCL中环,光伏设备,9.966776847839355,9.93,22.24755664,5.579742908477783,1.30335251,093333,112930,4,1/1,1
002927,泰永长征,电网设备,10.023309707641602,23.6,5.10429664,10.000185012817383,0.2211792,093345,093806,1,3/2,1
002072,凯瑞德,贸易Ⅱ,10.064516067504883,8.53,1.9881548,6.408938884735107,0.20542799,093521,093521,0,1/1,1
605167,利柏特,专业工程,10.012594223022461,17.47,1.8285368,2.357607841491699,0.18726093,093626,143044,1,1/1,1
603011,合锻智能,专用设备,9.9893159866333,20.59,5.39713616,5.3698344230651855,0.87663963,093652,093928,1,1/1,1
000608,阳光股份,房地产开,10.0,4.18,1.14100942,3.7289624214172363,0.26673357,094145,094145,0,1/1,1
603115,海星股份,元件,10.0,113.08,14.52307216,5.40790319442749,0.21564356,094158,140552,13,8/4,1
600744,华银电力,电力,9.974424362182617,8.6,14.36152032,8.324868202209473,1.12904635,094358,095158,1,1/1,1
603895,天永智能,专用设备,9.99178695678711,40.18,0.85462466,2.0248148441314697,0.29306488,094527,094527,0,1/1,1
000892,欢瑞世纪,影视院线,10.024450302124023,4.5,2.7095416,8.744684219360352,0.801909,094939,094939,0,1/1,1
605055,迎丰股份,纺织制造,10.022271156311035,14.82,2.85566592,4.475295543670654,0.25780872,095319,101313,4,1/1,1
002706,良信股份,电网设备,10.022271156311035,14.82,12.31310288,9.239205360412598,0.71029296,095945,110945,1,1/1,1
000601,韶能股份,电力,9.986320495605469,8.04,15.30844096,18.676788330078125,0.61722468,100309,132345,1,1/1,1
601126,XD四方股,电网设备,10.002656936645508,82.81,35.5608504,5.291770935058594,0.31815602,100643,135555,17,1/1,1
605066,天正电气,电网设备,10.027472496032715,8.01,3.36146192,8.501691818237305,0.23696784,101109,102309,1,1/1,1
001360,南矿集团,专用设备,9.99526309967041,23.22,1.79650747,6.320660591125488,1.08807991,101509,101509,0,1/1,1
603663,三祥新材,化学原料,10.0,64.13,13.2234096,4.999945640563965,0.86427167,101629,101629,0,6/4,1
603633,徕木股份,消费电子,10.012516021728516,8.79,4.47798336,12.146077156066895,0.19008076,102026,132247,1,1/1,1
001299,美能能源,燃气Ⅱ,10.016834259033203,13.07,2.24423459,6.256412029266357,0.46124552,102121,102121,0,1/1,1
600758,辽宁能源,煤炭开采,9.952607154846191,4.64,6.38302192,10.863860130310059,0.5537827,102333,102333,0,1/1,1
002971,和远气体,化学制品,10.0,35.09,4.27914208,8.112436294555664,0.63856782,103257,103257,0,1/1,1
002881,美格智能,通信设备,10.008837699890137,49.79,16.26776336,18.353174209594727,0.38646998,103630,141848,2,1/1,1
600353,旭光电子,其他电子,9.99555778503418,24.76,18.79432528,9.444695472717285,1.01951355,110814,134132,4,1/1,1
605289,罗曼股份,专业工程,9.998153686523438,119.15,7.55371952,4.29965877532959,0.68840104,110911,110911,0,1/1,1
603538,美诺华,化学制药,9.990530014038086,46.46,14.2163152,13.285548210144043,1.00381476,130128,130128,0,1/1,1
600863,华能蒙电,电力,10.0,6.71,25.43200272,6.133382320404053,1.16629106,130227,130227,0,3/2,1
600396,华电辽能,电力,10.011848449707031,18.57,43.1829248,16.387197494506836,2.24648253,130256,130256,0,3/2,1
603989,艾华集团,元件,10.015748023986816,34.93,13.5398536,10.014338493347168,0.28391278,130429,142602,15,8/4,1
000539,粤电力Ａ,电力,10.044978141784668,7.34,12.47563376,6.880845546722412,1.06222278,130515,130515,0,1/1,1
002012,凯恩股份,造纸,10.034207344055176,9.65,7.01307056,16.29960060119629,0.20825665,130712,130742,1,3/2,1
605300,佳禾食品,饮料乳品,9.989909172058105,10.9,1.07785732,2.244601011276245,0.13683969,130856,131132,2,1/1,1
600779,水井坊,白酒Ⅱ,10.016207695007324,33.94,4.888068,3.037889003753662,0.40997076,131103,133306,2,1/1,1
603032,德新科技,电池,10.00874137878418,25.17,7.28341824,12.742683410644531,0.17590633,131321,135309,5,1/1,1
603335,迪生力,汽车零部,10.075187683105469,7.32,1.66238592,5.591342449188232,0.56227862,131939,131939,0,1/1,1
603578,三星新材,家电零部,10.0,16.94,1.8201934,6.147007942199707,0.2110829,132216,132216,0,1/1,1
